51,0,0, (Ending 20) You contract covid and are too unwell to make it to your lecture on time., Restart,-
52,11,1, You pick up a very fancy engraved stopwatch from the ground and feel an impulse to click it., Put it away and continue, Click the stopwatch
53,54,55, You reach the end of the field narrowly avoiding the crowd., Chase the crowd, Keep on going
54,0,0, (Ending 25) You got covid, Restart,-
55,56,57, As you walk past the pub a drunken man bumps into you by accident. 'Oi you wanna fight mate?', Lets 'ave it, Flee
56,60,61, Ok here comes my special move'. The man starts spinning his arm like a flail and you see him about to lash., Cry, Parry
57,58,59, You reach the campus at a hasty pace. The mans presence shook you as you realise you made good time. (+1 time points), Attend lecture, Attend super-early and say hello to lecturer (1 time point required)
58,0,0, (Ending 34) You did it! you made it to your 9am on time and buckled down to do some work. Good going champ., Restart,-
59,0,0, (Ending 35) Due to coming super early you talk to lecturer and find out hes another person who does people things too. You plan to get drinks together!, Restart,-
60,0,0, (Ending 32) Ouch! you lose, Restart,-
61,62,63, You knock him back and see an opening., Hold defensive stance, Pushy him
62,0,0, (Ending 33) The man falls over you and you both trip and get knocked out, Restart,-
63,64,60, The man tumbles over and gets back him. 'Here I go you better watch out!!', Watch out, Don't watch out
64,65,60, 'Damnit you wacthed out'., Finish him, Don't finish him
65,66,67, You deliver a singular blow which knocks the man and dizzies him. He gets up after 5 minutes. 'Good show old chap how about you join me for some drinks?', Join him (0.5 coolness required), Don't join him
66,0,0, (Ending 37) You get to know the man and he isn't so bad after you all. You end up getting all the lads and going Astoria together. But what about your 9am? Probably a bit late for that. There is usually a next time., Restart,-
67,0,0, (Ending 36) You pass out tired and dehydrated to awaken back at home. You realise you have a 9am., Restart,-
68,69,72, You reach the university campus after some time. and see the building your lecture is held in., Head inside, Bunk it (-3 time points required)
69,70,71, Shifting along the crowd of students in the hall you eventually find a seat., Do work (0 time points required), Explain your tardiness
70,0,0, (Ending 29) You made it to your 9am on time, Restart,-
71,0,0, (Ending 28) The lecturer counters you with 'No excuse'. You did not make it to your 9am on time., Restart,-
72,73,74, You realise your activities have cost you your 9am or has it?, It has, Chug Monster (0.5 coolness required)
73,0,0, (Ending 24) Unlucky but it is your fault, Restart,-
74,0,0, (Ending 27) The nicotine and caffeine gets you so buzzed it rewinds time, perhaps you have made it if you can navigate through the distorted space time.
75,76,77, You swiftly make it through to self checkout and buy the burger and head out. As you take a bite you notice an odd flavour. 'I knew it. It has horse meat in it. Tesco haven't learnt!' you exclaim to yourself., Walk left, Walk right
76,54,68, You have just reached the main road and pass by a field where you see the end of large protest. You appear to have missed it., Chase it, Walk onwards
77,78,80, 'Well well well' a tesco manager says as he appears from the corner. 'It seems you have discovered our secret. We cannot have any witnesses can we?', Gaslight Manager (0.5 coolness required), 'I guess you are going to have to'
78,76,90,  'Wrong person I guess you are free to go'. the manager says as he turns his back. (-1 time points), Walk left, Go for a strike
79,0,0, (Ending 23) It turns out he was a martial arts master. He stops your breathe with a one finger punch to the sternum., Restart,-
80,81,82, In the blink of an eye the manager fires forward projectile tesco clubcards from his sleeves and are hurdling towards you., Jump out of the way, Hold arms to block
81,0,0, (Ending 21) You successfully dodge the cards but slip on a banana peel and get knocked out. A dystopian horse burger future agenda will now be set afoot., Restart,-
82,83,84, You succesfully deflect the innocuous plastic cards and pick one up., Snap one in half, Throw one back
83,0,0, (Ending 22) Whilst you struggle to snap the card the manager vanishes and reappears behind you clobbering you over the back of the head leaving you dizzy.
84,85,86, The card flies like a boomerang and slices the managers tie off. "My tie!" he screams as he vanishes into dust. A portal opens in front of you. (+1 coolness points), Take the portal, Head to your lecture
85,0,0, (Ending 26) You teleport to a court case and successfully sue Tescos. Victory is yours or is it? Did you make it to your 9am on time?, Restart,-
86,87,88, You reach your lecture very late. The lecturer yells at you and everyone fixes their gazes on you., Explain tardiness (1.5 coolness required), Sit down in shame
87,0,0, Due to your bravery in the face of adversity you are instantly given your degree and live a successful life as a software developer and program the ai that eventually takes over the world in 2055., Restart,-
88,0,0, Absolutely mortified you sit through the rest of the lecture not having a clue whats going on. At least you tried. If only people knew what you had to go through., Restart,-
